,name,nodes,filesystem,index,perf_var,perf_value,datetime,status,jobid
33452894,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,20,unstriped_hdf5,0.43563659976427804,2023-08-10 12:26:00,completed,4187903
20618284,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.43599871127980444,2023-08-10 12:26:00,completed,4187899
30866822,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.4339582307209342,2023-08-10 13:40:00,failed_performance,4189253
35139908,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.4252800402513049,2023-08-10 13:40:00,completed,4189245
22851938,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.42833508172477325,2023-08-10 13:40:00,completed,4189241
35965437,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.43724957716439805,2023-08-10 14:53:00,completed,4189752
29512079,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.4369653864176806,2023-08-10 14:53:00,completed,4189751
23854852,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.43212164862063807,2023-08-10 14:53:00,completed,4189749
19643770,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.432879445792123,2023-08-10 16:05:00,completed,4190953
29457149,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.4357469469612621,2023-08-10 16:05:00,completed,4190957
