,name,nodes,filesystem,perf_var,perf_value,datetime,status,jobid
33850089,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1551927581909633,2023-07-30 02:19:00,completed,4077340
33868605,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1267019609912083,2023-07-30 01:14:00,completed,4076480
32809950,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3821341775813256,2023-07-30 00:11:00,completed,4076127
32943403,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1495994576917203,2023-07-29 23:07:00,completed,4075702
34283589,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1338647942282234,2023-07-29 22:03:00,completed,4075134
31861618,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1651347939256722,2023-07-29 20:59:00,completed,4074832
32570413,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1615499885747558,2023-07-29 19:56:00,completed,4074588
32404458,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3696651703950524,2023-07-29 18:52:00,completed,4074409
32773305,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3561454592400897,2023-07-29 17:47:00,completed,4074166
33312118,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1964844304662512,2023-07-29 16:43:00,completed,4073967
32928111,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1295586384127156,2023-07-29 15:38:00,completed,4072864
35798803,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1372305010218517,2023-07-29 14:35:00,completed,4072291
35901527,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3419465896031608,2023-07-29 13:31:00,completed,4071084
35873987,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3877133647672217,2023-07-29 12:28:00,completed,4070452
33297046,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3794496243690504,2023-07-29 11:24:00,completed,4069658
35751346,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.4137331577817893,2023-07-29 10:21:00,completed,4069340
32033857,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1646431709582232,2023-07-29 09:17:00,completed,4069180
34992357,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3517116319042652,2023-07-29 08:13:00,completed,4069030
32205834,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1344921426019414,2023-07-29 07:09:00,completed,4068722
32260168,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1817829431602789,2023-07-29 06:06:00,completed,4068446
34050693,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3570288497124499,2023-07-29 05:01:00,completed,4068079
35802954,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1504698607950365,2023-07-29 03:57:00,completed,4067784
35995002,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3493085307744528,2023-07-29 02:54:00,completed,4067469
35794286,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1575148570141145,2023-07-29 01:51:00,completed,4067149
32102313,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1724789069159942,2023-07-29 00:47:00,completed,4066850
32508445,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3488494229829837,2023-07-28 23:43:00,completed,4066718
